date,close,arithmetic price change,log price log price,standerd diviation * sqrt(250),Volatility
2017-09-21,947.55,0.0045480567,0.0045377456,-,-
2017-09-22,943.26,0.0096116796,0.0095657813,-,-
2017-09-25,934.28,-0.0033602509,-0.0033659092,-,-
2017-09-26,937.43,-0.0234086884,-0.023687024,-,-
2017-09-27,959.9,-0.0050890849,-0.0051020784,-,-
2017-09-28,964.81,-0.0091504745,-0.0091925972,-,-
2017-09-29,973.72,0.0064601486,0.0064393713,-,-
2017-10-02,967.47,-0.004742408,-0.0047536889,-,-
2017-10-03,972.08,0.0054821159,0.0054671438,-,-
2017-10-04,966.78,-0.0186867508,-0.0188635542,-,-
2017-10-05,985.19,-0.008504086,-0.008540452,-,-
2017-10-06,993.64,0.001340307,0.0013394096,-,-
2017-10-09,992.31,0.0045657016,0.0045553104,-,-
2017-10-10,987.8,-0.0177497141,-0.0179091295,-,-
2017-10-11,1005.65,0,0,-,-
2017-10-12,1005.65,-0.002202665,-0.0022050945,-,-
2017-10-13,1007.87,-0.0014662902,-0.0014673662,-,-
2017-10-16,1009.35,-0.0016320475,-0.0016333807,-,-
2017-10-17,1011,-0.0017181113,-0.0017195889,-,-
2017-10-18,1012.74,0.0108799808,0.0108212197,-,-
2017-10-19,1001.84,-0.0032137065,-0.0032188816,-,-
2017-10-20,1005.07,0.0198165473,0.0196227555,-,-
2017-10-23,985.54,-0.0029843499,-0.0029888119,-,-
2017-10-24,988.49,-0.0029955823,-0.003000078,-,-
2017-10-25,991.46,4.03461701398775E-05,4.03453562550954E-05,-,-
2017-10-26,991.42,-0.0408737798,-0.0417325963,-,-
2017-10-27,1033.67,0.0005226835,0.0005225469,-,-
2017-10-30,1033.13,8.71215054597552E-05,8.71177106019147E-05,-,-
2017-10-31,1033.04,-0.0091693842,-0.0092116818,-,-
2017-11-01,1042.6,-0.0003547561,-0.0003548191,-,-
2017-11-02,1042.97,-0.006685778,-0.0067082279,-,-
2017-11-03,1049.99,0.0070107799,0.0069863187,-,-
2017-11-06,1042.68,-0.0092266175,-0.0092694464,-,-
2017-11-07,1052.39,-0.0055750314,-0.0055906299,-,-
2017-11-08,1058.29,0.0100885733,0.0100380233,-,-
2017-11-09,1047.72,0.003419049,0.0034132173,-,-
2017-11-10,1044.15,0.0028332693,0.0028292632,-,-
2017-11-13,1041.2,-0.0004224108,-0.0004225001,-,-
2017-11-14,1041.64,0.0050462655,0.0050335757,-,-
2017-11-15,1036.41,-0.011502475,-0.0115691402,-,-
2017-11-16,1048.47,0.0121441466,0.0120709981,-,-
2017-11-17,1035.89,0.0011887963,0.0011880903,-,-
2017-11-20,1034.66,-0.0148909835,-0.0150029673,-,-
2017-11-21,1050.3,-0.0015400411,-0.0015412281,-,-
2017-11-22,1051.92,-0.0043539166,-0.0043634225,-,-
2017-11-24,1056.52,-0.0144494921,-0.0145549026,-,-
2017-11-27,1072.01,0.0082009612,0.008167516,-,-
2017-11-28,1063.29,0.0249763828,0.0246695712,-,-
2017-11-29,1037.38,0.001167762,0.0011670807,-,-
2017-11-30,1036.17,0.0108285288,0.0107703201,-,-
2017-12-01,1025.07,0.013045154,0.0129607988,-,-
2017-12-04,1011.87,-0.0075814045,-0.0076102894,-,-
2017-12-05,1019.6,-0.0127043148,-0.0127857047,-,-
2017-12-06,1032.72,-0.0113443809,-0.0114092193,-,-
2017-12-07,1044.57,-0.0045836589,-0.0045941961,-,-
2017-12-08,1049.38,-0.0024620474,-0.0024650832,-,-
2017-12-11,1051.97,0.0030511933,0.0030465479,-,-
2017-12-12,1048.77,-0.0024919392,-0.0024950493,-,-
2017-12-13,1051.39,-0.0057495721,-0.0057661645,-,-
2017-12-14,1057.47,-0.0135541045,-0.0136467999,-,-
2017-12-15,1072,-0.0120635155,-0.0121368702,-,-
2017-12-18,1085.09,0.0049176684,0.0049056162,-,-
2017-12-19,1079.78,0.0057938075,0.005777088,-,-
2017-12-20,1073.56,0.0025306999,0.0025275031,-,-
2017-12-21,1070.85,0.0018617967,0.0018600657,-,-
2017-12-22,1068.86,0.0028240372,0.0028200571,-,-
2017-12-26,1065.85,0.0053291832,0.0053150333,-,-
2017-12-27,1060.2,0.0040248118,0.0040167339,-,-
2017-12-28,1055.95,0.0024207329,0.0024178076,-,-
2017-12-29,1053.4,,,,
